CC,DD,AAfnw_BBkrs,AAfnw_BBbgp,AApqr_BBqz,AApqr_BBlt,AApqr_BBnqx,AAcqx_BBgv,AAcqx_BBcjx,Minimum,EE,FF
CCkqy,,12.05,62.08,48.95,92.28,3.27,76.44,31.98,3.27,,
,  DDcwz,12.05,62.08,48.95,92.28,3.27,77.64,31.98,3.27,EEmz,FFbpv
,  DDbsz,14.03,71.76,55.22,94.73,6.68,79.36,41.73,6.68,EEhpx,FFlmr
,  DDmx,26.93,74.96,57.96,99.34,9.44,76.44,45.05,9.44,EEmz,FFgqt
CCbt,,10.58,0.10,45.77,84.79,1.17,75.04,29.06,0.10,,
,  DDmpy,19.34,71.55,57.28,97.94,6.18,81.49,42.81,6.18,EEmz,FFbpv
,  DDhpt,13.56,0.10,48.63,92.68,4.77,77.74,32.01,0.10,EEhpx,FFcmp
,  DDmx,10.58,60.73,45.77,84.79,1.17,75.04,29.06,1.17,EEmz,FFgqt
CCcy,,10.64,58.03,45.47,84.03,2.46,72.71,30.48,2.46,,
,  DDhlt,20.64,70.86,58.67,98.37,6.03,81.80,43.20,6.03,EEhpx,FFcmp
,  DDbkv,10.64,58.03,45.47,84.03,2.46,72.71,30.48,2.46,EEhpx,FFlmr
,  DDbmz,14.91,70.83,54.33,93.59,5.35,79.06,37.37,5.35,EEmz,FFgqt
Minimum,,10.58,0.10,45.47,84.03,1.17,72.71,29.06,0.10,,
,  ,10.58,0.10,45.47,84.03,1.17,72.71,29.06,0.10,,
