CC,DD,AApqr_BBbgp,AApqr_BBnqx,AApqr_BBcjx,AAmz_BBbpv,AAmz_BBgqt,AAcy_BBhpt,AAcy_BBbkv
CCbt,,91.21,1.91,46.33,66.16,17.68,77.27,33.62
,  DDbmz,93.89,11.04,61.26,72.82,28.97,88.10,33.62
,  DDmx,91.21,1.91,46.33,66.16,17.68,77.27,34.85
,  DDcwz,93.66,3.19,87.35,70.46,22.94,81.75,37.99
CChpx,,93.08,3.69,52.40,68.36,20.26,82.63,34.97
,  DDkrs,99.05,14.26,64.84,75.57,33.53,90.37,44.91
,  DDlmr,93.08,3.69,52.40,68.36,20.26,82.63,34.97
,  DDcmp,96.79,11.12,56.34,72.41,27.48,87.15,36.66
CCfnw,,91.84,2.67,50.38,68.90,17.47,81.10,35.83
,  DDqz,91.84,8.18,56.40,69.44,26.60,86.24,36.72
,  DDkrs,92.12,2.67,50.38,68.90,17.47,81.10,35.83
,  DDmx,98.34,13.33,64.66,74.70,31.22,87.31,44.26
