CC,DD,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,AAcy_BBhpt,AAcy_BBbkv,AAmz_BBbpv,AAmz_BBgqt
CCbt,,0.29,87.45,46.24,70.23,27.74,58.84,13.92
,  DDcwz,3.66,90.16,49.93,73.98,33.22,62.88,18.36
,  DDmx,0.29,87.45,46.24,70.23,27.74,58.84,13.92
,  DDbmz,8.36,93.81,54.04,76.64,38.97,65.97,24.80
CCfnw,,1.71,87.19,47.10,71.02,27.06,57.04,14.33
,  DDkrs,1.71,87.19,47.10,71.86,27.06,57.04,14.33
,  DDgv,7.02,95.66,55.51,78.75,39.75,67.22,23.62
,  DDqz,5.83,90.24,51.78,71.02,38.51,64.06,19.59
CChpx,,3.86,89.41,47.92,70.97,26.14,57.19,17.41
,  DDcmp,7.65,93.41,54.57,75.73,39.33,65.13,23.47
,  DDmx,8.83,96.13,57.26,86.85,42.46,69.61,26.83
,  DDlmr,3.86,89.41,47.92,70.97,26.14,57.19,17.41
Minimum,,0.29,87.19,46.24,70.23,26.14,57.04,13.92
,  ,0.29,87.19,46.24,70.23,26.14,57.04,13.92
