CC,DD,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp,AAcy_BBbkv,AAcy_BBhpt,AAmz_BBbpv,AAmz_BBgqt
Minimum,,48.43,0.95,75.10,40.22,75.40,55.22,15.45
,  ,48.43,0.95,75.10,40.22,75.40,55.22,15.45
CCbt,,49.10,0.95,84.13,40.41,76.05,55.36,15.62
,  DDmx,49.10,0.95,84.13,40.41,76.05,55.36,15.62
,  DDcwz,52.49,5.17,96.46,43.55,79.92,61.19,19.28
,  DDbmz,56.55,7.34,97.10,41.91,82.31,70.78,27.13
CCfnw,,48.43,3.28,86.13,40.92,77.61,55.22,15.45
,  DDgv,58.41,7.51,97.00,47.55,83.30,73.52,29.67
,  DDqz,55.39,3.28,96.17,42.71,80.95,66.00,21.84
,  DDkrs,48.43,3.82,86.13,40.92,77.61,55.22,15.45
CChpx,,51.91,4.56,75.10,40.22,75.40,62.32,17.47
,  DDlmr,51.91,4.56,84.21,42.76,75.73,62.32,17.47
,  DDdlz,56.19,11.85,75.10,47.79,84.28,75.83,34.94
,  DDcmp,56.84,7.95,98.20,40.22,75.40,69.41,27.64
