CC,DD,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp,AAmz_BBbpv,AAmz_BBgqt,AAcy_BBbkv,AAcy_BBhpt,Minimum
CChpx,,41.58,1.46,96.20,65.56,16.00,33.67,81.67,1.46
,  DDlmr,41.58,1.46,96.20,65.56,16.00,33.67,81.67,1.46
,  DDcmp,49.68,7.25,98.08,73.30,18.81,36.61,90.98,7.25
,  DDkrs,56.38,10.39,99.26,77.28,26.17,37.93,93.04,10.39
CCfnw,,42.83,1.79,91.57,60.64,15.44,32.46,81.28,1.79
,  DDkrs,42.83,1.79,91.57,60.64,15.44,32.46,81.28,1.79
,  DDmx,55.40,10.52,99.80,76.38,25.05,37.41,92.28,10.52
,  DDqz,49.17,6.54,98.43,68.06,18.82,35.34,89.36,6.54
CCbt,,41.18,0.50,94.36,57.75,14.02,28.32,80.40,0.50
,  DDcwz,48.89,3.29,94.36,66.84,17.16,34.90,87.95,3.29
,  DDbmz,52.93,9.29,98.52,75.03,14.15,37.23,90.66,9.29
,  DDmx,41.18,0.50,94.88,57.75,14.02,28.32,80.40,0.50
