CC,DD,AAcy_BBbkv,AAcy_BBhpt,AApqr_BBnqx,AApqr_BBcjx,AAmz_BBbpv,AAmz_BBgqt,Minimum
CCfnw,DDmx,53.09,91.85,23.28,77.10,87.23,43.26,23.28
,DDkrs,51.28,86.20,52.22,53.58,80.89,27.27,27.27
,DDqz,53.37,91.39,12.27,64.13,83.59,40.44,12.27
CCbt,DDmx,48.86,88.40,3.35,59.27,78.64,26.92,3.35
,DDbmz,56.64,93.52,21.75,69.52,85.26,40.94,21.75
,DDcwz,53.07,91.00,8.67,60.45,82.69,31.54,8.67
CChpx,DDlmr,52.30,91.09,6.54,58.00,77.13,29.53,6.54
,DDkrs,58.70,99.49,24.54,78.04,85.08,47.72,24.54
,DDcmp,54.74,92.40,19.44,0.10,85.60,41.83,0.10
Minimum,,48.86,86.20,3.35,0.10,77.13,26.92,0.10
