CC,DD,AAcqx_BBcjx,AAcqx_BBgv,AAfnw_BBkrs,AAfnw_BBbgp,AApqr_BBqz,AApqr_BBnqx,AApqr_BBlt,EE,FF
CCkqy,,35.43,80.03,21.85,63.71,43.46,9.52,80.69,,
,  DDcwz,35.43,80.03,21.85,63.71,47.60,9.52,80.69,EEmz,FFgqt
,  DDbsz,41.89,83.99,81.36,70.04,43.46,13.17,83.67,EEmz,FFgqt
,  DDbkv,43.03,82.39,35.30,76.34,57.07,18.18,99.81,EEmz,FFgqt
CCbt,,35.20,78.17,24.48,59.99,45.67,4.65,87.40,,
,  DDmx,36.26,78.17,80.64,59.99,45.67,4.65,87.40,EEmz,FFgqt
,  DDmpy,40.46,84.94,28.48,70.83,52.27,79.20,94.87,EEmz,FFgqt
,  DDhpt,35.20,80.85,24.48,63.44,48.60,10.13,90.00,EEmz,FFgqt
CCcy,,36.92,78.51,21.09,61.90,41.26,6.20,83.17,,
,  DDmx,43.77,83.09,34.93,75.35,55.68,16.16,96.59,EEmz,FFgqt
,  DDbmz,40.55,78.74,24.43,63.33,41.26,11.34,83.17,EEmz,FFgqt
,  DDbkv,36.92,78.51,21.09,61.90,45.77,6.20,88.55,EEmz,FFgqt
