CC,DD,AAfnw_BBkrs,AAfnw_BBgv,AAfnw_BBqz,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,EE,FF
Minimum,,26.08,71.72,46.09,3.05,34.35,58.52,,
,  ,26.08,71.72,46.09,3.05,34.35,58.52,,
CCbt,,26.08,71.72,46.90,3.05,38.22,58.52,,
,  DDhpt,31.87,85.65,50.35,11.76,41.52,62.60,EEmz,FFlmr
,  DDmpy,34.54,91.85,53.27,20.44,44.53,66.97,EEmz,FFgqt
,  DDmx,26.08,71.72,46.90,3.05,38.22,58.52,EEmz,FFgqt
CCkqy,,30.18,76.80,49.92,7.28,34.35,62.01,,
,  DDbkv,37.43,91.34,58.40,27.07,44.72,71.42,EEmz,FFgqt
,  DDcwz,30.18,76.80,49.92,7.28,34.35,62.01,EEmz,FFgqt
,  DDbsz,34.82,88.85,52.46,19.61,43.04,65.45,EEmz,FFlmr
CCcy,,29.32,73.92,46.09,7.09,37.89,60.12,,
,  DDbkv,29.32,73.92,46.09,7.09,39.71,60.12,EEmz,FFlmr
,  DDmx,36.46,91.21,57.27,26.62,44.36,69.55,EEmz,FFlmr
,  DDbmz,32.49,86.31,46.19,15.97,37.89,64.72,EEmz,FFgqt
