CC,DD,AApqr_BBcjx,AApqr_BBnqx,AAfnw_BBqz,AAfnw_BBkrs,EE,FF
Minimum,,48.40,3.34,74.14,28.38,,
,  ,48.40,3.34,74.14,28.38,,
CCcy,,49.41,5.74,75.97,33.02,,
,  DDbkv,49.41,5.74,75.97,33.02,EEmz,FFlmr
,  DDmx,65.23,25.14,97.61,47.41,EEmz,FFlmr
,  DDbmz,56.58,9.06,90.21,39.47,EEmz,FFgqt
CCbt,,49.96,3.34,74.14,28.38,,
,  DDhpt,51.34,8.28,80.69,35.82,EEmz,FFlmr
,  DDmx,49.96,3.34,74.14,28.38,EEmz,FFgqt
,  DDmpy,64.32,21.78,95.05,45.90,EEmz,FFgqt
CCkqy,,48.40,7.66,76.92,35.57,,
,  DDbkv,67.42,26.05,99.92,48.64,EEmz,FFgqt
,  DDcwz,48.40,7.66,76.92,35.57,EEmz,FFgqt
,  DDbsz,60.35,19.08,94.53,44.07,EEmz,FFlmr
