CC,DD,AAfnw_BBkrs,AAfnw_BBgv,AAfnw_BBqz,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,Minimum,EE,FF
CCcy,,19.25,93.11,48.52,4.42,29.86,64.60,4.42,,
,  DDhpt,19.44,95.43,56.04,8.88,39.56,67.64,8.88,EEhpx,FFgqt
,  DDbkv,19.25,93.11,48.52,4.42,29.86,64.60,4.42,EEhpx,FFlmr
,  DDmx,23.10,98.32,58.34,18.15,44.95,84.52,18.15,EEhpx,FFbpv
CCbt,,18.65,86.00,46.55,4.01,26.14,59.55,4.01,,
,  DDcwz,21.57,93.47,52.80,7.06,33.91,66.29,7.06,EEmz,FFbpv
,  DDbmz,23.03,96.32,57.96,10.32,41.25,75.01,10.32,EEmz,FFlmr
,  DDmx,18.65,86.00,46.55,4.01,26.14,59.55,4.01,EEmz,FFgqt
Minimum,,18.65,86.00,46.55,4.01,26.14,59.55,4.01,,
,  ,18.65,86.00,46.55,4.01,26.14,59.55,4.01,,
