CC,DD,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,AAfnw_BBgv,AAfnw_BBkrs,AAfnw_BBqz,EE,FF
CCbt,,1.23,34.68,66.27,85.38,14.65,45.10,,
,  DDmx,1.23,34.68,66.27,85.38,14.65,45.10,EEmz,FFgqt
,  DDhpt,5.69,39.50,72.78,90.48,25.35,55.34,EEhpx,FFgqt
,  DDmpy,9.52,43.18,79.85,96.37,33.37,61.54,EEmz,FFgqt
CCcy,,2.71,37.49,66.63,87.79,12.85,50.86,,
,  DDbkv,2.71,37.49,66.63,87.79,12.85,50.86,EEhpx,FFlmr
,  DDhlt,12.24,44.57,78.13,96.84,34.35,62.21,EEhpx,FFlmr
,  DDbmz,7.30,40.69,76.11,92.75,25.95,59.03,EEmz,FFlmr
CCkqy,,3.07,37.60,69.71,90.50,19.60,54.98,,
,  DDmx,12.86,44.55,81.31,99.09,34.64,59.18,EEmz,FFbpv
,  DDbsz,8.84,42.41,78.81,92.85,26.00,60.64,EEhpx,FFbpv
,  DDcwz,3.07,37.60,69.71,90.50,19.60,54.98,EEmz,FFbpv
