CC,DD,AAcqx_BBgv,AAcqx_BBcjx,AApqr_BBnqx,AApqr_BBqz,AApqr_BBlt,AAfnw_BBbgp,AAfnw_BBkrs,EE,FF
CCbt,,68.94,21.57,0.62,43.26,85.69,57.18,11.35,,
,  DDmx,68.94,21.57,0.62,43.26,85.69,57.18,11.35,EEmz,FFgqt
,  DDmpy,70.71,42.27,7.43,53.58,96.92,65.15,18.39,EEmz,FFgqt
,  DDhpt,71.17,28.50,4.99,44.28,92.53,62.59,15.76,EEhpx,FFgqt
CCkqy,,70.31,25.21,3.73,0.16,91.37,63.26,10.70,,
,  DDbkv,71.94,42.15,11.53,0.16,99.20,67.38,20.97,EEmz,FFbpv
,  DDcwz,70.31,25.21,3.73,47.24,91.37,63.38,11.36,EEmz,FFbpv
,  DDbsz,72.42,39.40,6.11,43.37,91.46,63.26,10.70,EEhpx,FFbpv
CCcy,,69.43,23.70,1.64,44.40,87.93,59.25,13.84,,
,  DDmx,69.61,42.97,10.12,53.56,98.04,65.28,15.07,EEhpx,FFlmr
,  DDbmz,72.14,29.31,4.47,44.40,92.52,63.02,15.22,EEmz,FFlmr
,  DDbkv,69.43,23.70,1.64,44.50,87.93,59.25,13.84,EEhpx,FFlmr
