CC,DD,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBbgp,AApqr_BBcjx,AApqr_BBnqx,EE,FF
CCbt,,29.46,62.40,88.55,45.77,1.58,,
,  DDmpy,35.43,75.71,96.59,56.30,20.81,EEmz,FFgqt
,  DDmx,29.46,62.40,88.55,45.77,1.58,EEmz,FFgqt
,  DDhpt,33.94,72.73,92.47,46.73,9.34,EEhpx,FFlmr
CCkqy,,32.23,72.51,91.87,47.75,7.57,,
,  DDmx,43.31,88.21,94.83,61.15,27.42,EEmz,FFgqt
,  DDcwz,32.23,72.51,91.87,47.75,7.57,EEmz,FFgqt
,  DDbsz,35.07,76.83,94.81,50.98,19.17,EEhpx,FFlmr
CCcy,,30.98,70.87,88.12,45.11,2.25,,
,  DDbmz,32.73,75.81,94.18,49.76,12.21,EEmz,FFgqt
,  DDbkv,30.98,70.87,88.12,45.11,2.25,EEhpx,FFlmr
,  DDhlt,37.77,83.42,97.65,57.45,26.48,EEhpx,FFlmr
Minimum,,29.46,62.40,88.12,45.11,1.58,,
,  ,29.46,62.40,88.12,45.11,1.58,,
