CC,DD,AAfnw_BBbgp,AAfnw_BBkrs,AAcqx_BBgv,AAcqx_BBcjx,AApqr_BBqz,AApqr_BBlt,AApqr_BBnqx,EE,FF
Minimum,,49.44,11.93,68.91,26.80,39.41,81.84,1.37,,
,  ,49.44,11.93,68.91,26.80,39.41,81.84,1.37,,
CCbt,,49.44,11.93,68.91,26.80,39.41,81.84,1.37,,
,  DDbmz,68.44,19.86,76.26,33.95,46.33,95.97,10.28,EEmz,FFgqt
,  DDmx,49.44,12.45,68.91,26.80,39.41,81.84,1.41,EEmz,FFgqt
,  DDcwz,54.89,11.93,73.58,31.27,43.30,92.93,1.37,EEmz,FFgqt
CCcy,,50.44,13.09,72.52,29.47,40.33,92.89,2.34,,
,  DDbkv,50.44,13.09,72.52,29.47,40.33,92.89,2.34,EEmz,FFlmr
,  DDbsz,68.65,24.31,76.11,39.13,47.65,97.78,11.87,EEmz,FFlmr
,  DDhpt,62.14,15.12,74.27,31.58,44.52,93.03,8.93,EEmz,FFlmr
