CC,DD,AAfnw_BBqz,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,Minimum,EE,FF
CCkqy,,62.45,21.36,5.91,43.85,91.28,5.91,,
,  DDcwz,62.45,21.36,5.91,43.85,91.28,5.91,EEmz,FFbpv
,  DDbsz,62.61,26.71,11.09,53.83,94.89,11.09,EEhpx,FFbpv
,  DDbkv,77.58,35.58,17.93,58.26,98.53,17.93,EEmz,FFbpv
CCcy,,61.84,20.50,1.93,35.59,90.23,1.93,,
,  DDbmz,64.31,23.32,8.23,46.19,93.16,8.23,EEmz,FFlmr
,  DDbkv,61.84,20.50,1.93,35.59,90.23,1.93,EEhpx,FFlmr
,  DDmx,71.64,32.07,16.40,56.17,95.54,16.40,EEhpx,FFlmr
CCbt,,59.03,19.77,0.77,36.46,85.63,0.77,,
,  DDmpy,68.33,32.71,12.67,55.95,95.91,12.67,EEmz,FFgqt
,  DDhpt,61.74,22.54,6.63,45.31,92.05,6.63,EEhpx,FFgqt
,  DDmx,59.03,19.77,0.77,36.46,85.63,0.77,EEmz,FFgqt
