CC,DD,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBnqx,AApqr_BBcjx,Minimum,EE,FF
CCcy,,46.00,86.03,13.92,68.03,13.92,,
,  DDbmz,49.48,95.61,24.85,74.48,24.85,EEmz,FFlmr
,  DDbkv,46.00,86.03,13.92,68.03,13.92,EEhpx,FFlmr
,  DDmx,60.79,98.18,41.31,80.04,41.31,EEhpx,FFlmr
CCkqy,,46.50,89.36,17.35,67.92,17.35,,
,  DDcwz,46.50,89.36,17.35,67.92,17.35,EEmz,FFbpv
,  DDbkv,60.88,99.60,43.14,82.35,43.14,EEmz,FFbpv
,  DDbsz,52.95,96.49,38.54,77.55,38.54,EEhpx,FFbpv
CCbt,,44.65,83.94,10.76,67.99,10.76,,
,  DDhpt,48.72,93.28,22.28,71.15,22.28,EEhpx,FFgqt
,  DDmpy,52.62,97.43,39.72,77.31,39.72,EEmz,FFgqt
,  DDmx,44.65,83.94,10.76,67.99,10.76,EEmz,FFgqt
Minimum,,44.65,83.94,10.76,67.92,10.76,,
,  ,44.65,83.94,10.76,67.92,10.76,,
