CC,DD,EE,FF,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,AAfnw_BBkrs,AAfnw_BBqz,Minimum
CCkqy,DDbsz,EEmz,FFgqt,19.40,50.78,93.26,29.58,74.41,19.40
,DDcwz,EEmz,FFgqt,6.80,33.42,86.96,26.48,63.34,6.80
,DDbkv,EEmz,FFgqt,23.08,50.67,92.62,32.29,83.30,23.08
CCcy,DDbmz,EEmz,FFgqt,16.56,39.71,92.99,28.92,69.90,16.56
,DDmx,EEmz,FFgqt,22.54,52.98,95.28,31.24,82.15,22.54
,DDbkv,EEmz,FFgqt,4.77,31.86,82.40,25.41,57.85,4.77
CCbt,DDhpt,EEmz,FFgqt,13.61,39.75,85.24,27.99,0.09,0.09
,DDmpy,EEmz,FFgqt,20.34,51.30,94.70,22.46,79.68,20.34
,DDmx,EEmz,FFgqt,0.85,31.26,83.78,23.83,55.41,0.85
Minimum,,,,0.85,31.26,82.40,22.46,0.09,0.09
