DD,EE,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CClt
DDcy,EEcrv,5.55,3.98,22.03,14.86,22.99,13.47,10.62,21.27
,EEmz,6.95,6.78,6.09,15.57,23.66,14.80,12.60,23.59
,EEbkv,4.37,1.03,22.76,0.09,17.57,10.35,8.64,20.08
DDcjx,EEdhv,18.43,5.43,5.59,14.71,23.09,14.39,11.90,23.69
,EEkqy,17.71,2.27,5.66,13.62,20.98,6.10,2.60,7.06
,EEbkv,19.47,7.44,27.09,3.45,23.63,17.97,12.73,0.83
DDmx,EEbhk,2.33,5.86,26.86,14.69,15.32,15.40,11.20,5.57
,EEmz,16.95,0.39,27.40,0.23,18.52,9.86,7.85,7.95
,EEqz,17.51,2.06,21.40,13.98,21.33,7.69,3.27,20.77
Maximum,,19.47,7.44,27.40,15.57,23.66,17.97,12.73,23.69
