DD,EE,AAgqt_BBnqx_CCbpv,AAgqt_BBfnw_CClt,AAgqt_BBfnw_CCkrs,AAgqt_BBlmr_CCbmz,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm,AApqr_BBfnw_CCprw,AApqr_BBlmr_CCcqx
DDcy,,26.61,22.27,16.20,14.42,6.64,19.40,10.01,24.93
,  EEbkv,26.61,21.25,4.72,11.23,1.85,16.91,8.21,18.97
,  EEmpy,5.10,1.32,16.20,14.42,6.64,19.40,10.01,24.93
,  EEcrv,23.09,22.27,13.69,13.99,4.53,17.77,9.71,19.68
DDmx,,27.69,23.11,14.02,14.61,6.24,26.19,10.64,24.60
,  EEmz,27.11,20.42,2.87,11.49,0.65,15.64,6.42,18.17
,  EEqz,27.69,22.87,12.87,12.88,3.52,4.30,9.45,21.43
,  EEbhk,26.39,23.11,14.02,14.61,6.24,26.19,10.64,24.60
DDcjx,,27.63,21.47,17.51,15.38,6.51,16.08,11.14,25.50
,  EEkqy,26.04,21.47,1.33,11.54,2.85,16.08,8.63,20.83
,  EEhq,27.63,4.07,17.51,15.38,6.51,7.54,11.14,25.50
,  EEdhv,24.64,5.93,14.49,13.22,2.77,4.14,3.02,23.64
Maximum,,27.69,23.11,17.51,15.38,6.64,26.19,11.14,25.50
,  ,27.69,23.11,17.51,15.38,6.64,26.19,11.14,25.50
