DD,EE,AAdk_BBrz_CCdt,AAdk_BBtw_CChv,AAdk_BBst_CCmx,AArv_BBrz_CChm,AArv_BBtw_CCdl,AArv_BBst_CCnw
DDtv,,17.40,5.16,27.25,17.53,23.90,11.17
,  EEhr,17.40,5.16,4.82,2.47,23.90,11.17
,  EElp,15.45,3.26,27.25,17.53,21.58,9.21
,  EEmn,13.40,0.70,25.13,9.85,19.22,2.79
DDnt,,15.17,3.01,28.00,15.27,22.02,10.44
,  EEfx,15.17,3.01,28.00,7.88,22.02,10.44
,  EEdn,8.63,0.32,23.37,7.07,9.95,5.53
,  EEfh,14.31,2.18,26.71,15.27,11.75,8.32
Maximum,,17.40,5.16,28.00,17.53,23.90,11.17
,  ,17.40,5.16,28.00,17.53,23.90,11.17
