DD,EE,AAbx_BBrz_CCdt,AAbx_BBrz_CChm,AArv_BBst_CCnw,AArv_BBst_CCmx,AAdk_BBtw_CCdl,AAdk_BBtw_CChv
Maximum,,16.72,23.24,12.48,25.01,24.13,4.87
,  ,16.72,23.24,12.48,25.01,24.13,4.87
DDnt,,16.72,23.24,11.68,25.01,21.15,4.36
,  EEfx,16.72,16.08,11.68,22.35,17.67,4.36
,  EEdn,13.09,23.24,6.18,24.64,19.43,0.59
,  EEfh,13.20,11.31,9.97,25.01,21.15,3.07
DDtv,,14.56,21.45,12.48,24.18,24.13,4.87
,  EElp,13.34,14.43,10.10,21.10,22.54,4.87
,  EEdn,14.56,21.45,12.48,4.26,24.13,4.57
,  EEmn,13.94,11.38,8.97,24.18,14.11,0.38
