DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv
Maximum,,17.48,24.45,26.95,11.77,18.94,4.93,23.62
,  ,17.48,24.45,26.95,11.77,18.94,4.93,23.62
DDcy,,17.48,23.65,26.64,11.77,13.18,4.93,23.62
,  EEqz,11.43,0.52,26.64,9.59,4.87,1.98,20.27
,  EEmz,17.48,2.11,25.41,11.77,1.90,4.93,23.62
,  EEbkv,13.14,23.65,25.24,4.91,13.18,1.53,15.52
DDmx,,14.43,24.45,26.95,9.97,18.94,4.65,22.48
,  EEcrv,7.70,8.54,26.91,9.97,18.94,4.65,22.48
,  EEkqy,14.43,23.43,26.95,7.22,16.40,2.07,20.54
,  EEmz,12.01,24.45,24.52,6.42,12.09,0.91,11.87
