DD,EE,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,AApqr_BBfnw_CCprw,AAgqt_BBnqx_CCbpv,AAgqt_BBlmr_CCbmz,AAgqt_BBfnw_CCkrs
Maximum,,17.54,5.60,16.65,26.85,22.55,27.93,10.26
,  ,17.54,5.60,16.65,26.85,22.55,27.93,10.26
DDmx,,17.54,2.36,16.65,26.47,22.55,27.93,10.26
,  EEcrv,17.54,1.15,16.65,26.47,22.55,9.24,10.26
,  EEmz,12.15,0.31,12.97,24.15,18.66,23.47,5.55
,  EEkqy,16.38,2.36,13.19,26.28,19.45,27.93,2.67
DDcy,,17.42,5.60,13.51,26.85,22.16,27.19,10.12
,  EEqz,17.42,1.91,12.98,26.85,19.64,7.08,4.16
,  EEmz,7.29,5.60,12.05,20.19,22.16,11.91,10.12
,  EEbkv,1.71,1.76,13.51,25.89,18.05,27.19,5.90
