DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCbpv,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCprw,AApqr_BBnqx_CCcqx,Maximum
DDmx,,15.84,27.97,6.73,16.21,21.06,27.97
,  EEqz,10.87,26.81,3.81,14.04,21.06,26.81
,  EEbhk,15.84,24.20,6.73,16.21,19.39,24.20
,  EEmz,7.24,27.97,0.31,9.07,18.08,27.97
DDcy,,15.10,26.94,7.07,15.73,20.18,26.94
,  EEcrv,12.60,6.93,4.31,15.73,20.18,20.18
,  EEbkv,10.39,21.87,1.61,10.76,18.52,21.87
,  EEmz,15.10,26.94,7.07,5.71,18.90,26.94
DDcjx,,13.18,26.58,8.09,13.99,26.54,26.58
,  EEkqy,11.32,25.14,2.35,13.99,20.90,25.14
,  EEdhv,13.18,24.04,5.03,3.55,23.33,24.04
,  EEbkv,13.05,26.58,8.09,2.89,26.54,26.58
Maximum,,15.84,27.97,8.09,16.21,26.54,27.97
,  ,15.84,27.97,8.09,16.21,26.54,27.97
