DD,EE,AAgqt_BBnqx_CCbpv,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AAgqt_BBlmr_CCbmz,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBfnw_CCprw,AApqr_BBlmr_CCcqx
DDcjx,,26.64,15.48,22.84,14.21,26.53,9.63,10.80,27.01
,  EEkqy,5.84,9.56,20.82,11.73,26.53,3.41,9.15,4.99
,  EEmz,7.85,9.79,22.84,14.21,18.64,9.63,10.39,27.01
,  EEdhv,26.64,15.48,21.90,12.22,4.22,5.24,10.80,23.89
DDcy,,27.96,16.49,22.05,13.15,17.13,8.78,10.02,26.19
,  EEcrv,23.93,14.65,7.69,11.62,16.40,5.16,0.04,23.71
,  EEbkv,4.08,7.34,7.44,11.88,15.98,0.14,9.08,18.90
,  EEmpy,27.96,16.49,22.05,13.15,17.13,8.78,10.02,26.19
DDmx,,27.92,16.00,21.50,12.06,17.82,5.18,10.48,25.98
,  EEqz,24.90,13.46,20.47,11.42,16.92,3.44,3.60,18.53
,  EEmz,27.92,10.24,19.98,10.91,15.91,0.76,8.98,19.25
,  EEbhk,26.34,16.00,21.50,12.06,17.82,5.18,10.48,25.98
