DD,EE,AApqr_BBnqx_CCprw,AApqr_BBnqx_CCcqx,AApqr_BBnqx_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCbpv
DDcy,,19.61,24.68,8.43,18.03,11.46
,  EEbkv,14.51,21.36,2.02,12.09,5.27
,  EEmpy,19.61,24.12,8.43,18.03,11.46
,  EEcrv,16.45,24.68,5.00,6.75,2.61
DDmx,,19.23,25.81,8.30,14.47,26.37
,  EEmz,13.52,14.09,2.30,10.00,26.37
,  EEbhk,19.23,25.81,8.30,8.59,2.25
,  EEqz,16.10,23.74,5.82,14.47,23.95
DDcjx,,15.16,24.76,10.32,18.64,11.58
,  EEmz,3.57,24.65,10.32,18.64,11.58
,  EEkqy,15.16,21.27,3.83,13.95,6.52
,  EEdhv,4.47,24.76,7.51,13.21,10.77
Maximum,,19.61,25.81,10.32,18.64,26.37
,  ,19.61,25.81,10.32,18.64,26.37
