DD,EE,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCprw,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCbt
DDcy,,22.74,26.33,17.45,16.64,27.12,7.97
,  EEbkv,18.99,20.68,6.21,2.02,25.71,1.46
,  EEmpy,22.74,26.33,17.45,16.64,26.58,7.97
,  EEcrv,2.56,23.08,14.11,12.72,27.12,4.17
DDmx,,21.52,25.95,13.95,14.36,24.99,7.81
,  EEmz,17.25,19.55,8.16,8.91,24.99,1.40
,  EEqz,21.52,4.01,13.95,11.02,24.41,4.53
,  EEbhk,21.14,25.95,13.16,14.36,5.49,7.81
DDcjx,,23.90,25.46,18.38,17.38,26.23,9.13
,  EEmz,23.90,25.46,18.38,17.38,0.05,9.13
,  EEdhv,21.77,24.86,14.97,12.00,26.23,6.55
,  EEkqy,18.49,21.48,10.27,9.38,23.15,3.13
Maximum,,23.90,26.33,18.38,17.38,27.12,9.13
,  ,23.90,26.33,18.38,17.38,27.12,9.13
