DD,EE,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCgjm
Maximum,,27.64,14.34,20.57,15.79,7.13,26.28,18.83
,  ,27.64,14.34,20.57,15.79,7.13,26.28,18.83
DDcy,,24.41,14.34,20.57,15.79,7.13,26.28,18.42
,  EEmz,11.61,14.34,20.57,15.79,7.13,26.28,18.42
,  EEbkv,20.88,9.68,16.19,14.84,1.41,20.93,17.30
,  EEqz,24.41,11.07,15.40,15.18,2.12,24.09,17.18
DDmx,,27.64,11.84,19.91,15.33,6.82,25.21,18.83
,  EEkqy,20.79,11.53,15.48,14.73,1.23,20.90,17.78
,  EEmz,27.64,7.32,15.77,13.81,0.20,20.95,17.54
,  EEcrv,11.71,11.84,19.91,15.33,6.82,25.21,18.83
