DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBlmr_CCbmz,AAgqt_BBnqx_CCbpv,AApqr_BBfnw_CCprw,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,Maximum
DDcy,,13.13,13.49,23.77,27.44,17.12,19.58,7.56,27.44
,  EEbkv,9.10,8.95,21.53,27.44,15.95,16.32,2.98,27.44
,  EEqz,10.20,13.49,20.59,21.13,16.50,17.55,4.37,21.13
,  EEmz,13.13,13.14,23.77,6.35,17.12,19.58,7.56,23.77
DDmx,,9.65,27.30,24.01,27.48,18.54,18.00,6.39,27.48
,  EEkqy,9.20,12.88,22.60,27.48,16.42,16.86,3.78,27.48
,  EEcrv,9.65,13.73,24.01,21.86,18.54,18.00,6.39,24.01
,  EEmz,7.23,27.30,20.19,17.64,12.39,14.31,0.35,27.30
Maximum,,13.13,27.30,24.01,27.48,18.54,19.58,7.56,27.48
,  ,13.13,27.30,24.01,27.48,18.54,19.58,7.56,27.48
