DD,EE,AAdk_BBst_CCdl,AAdk_BBtw_CChv,AArv_BBst_CCnw,AArv_BBtw_CCmx,AAbx_BBst_CChm,AAbx_BBtw_CCdt
DDnt,,20.97,2.64,6.70,27.26,19.88,14.39
,  EEfh,20.97,2.12,6.54,26.20,17.99,14.39
,  EEdn,18.81,0.74,6.19,20.17,8.23,12.93
,  EEfx,18.06,2.64,6.70,27.26,19.88,13.87
DDtv,,20.73,4.44,11.20,27.94,19.36,13.56
,  EEmn,19.05,1.30,6.05,25.20,14.98,13.08
,  EElp,20.73,0.62,8.13,27.94,18.68,13.30
,  EEhr,15.18,4.44,11.20,24.45,19.36,13.56
Maximum,,20.97,4.44,11.20,27.94,19.88,14.39
,  ,20.97,4.44,11.20,27.94,19.88,14.39
