DD,EE,AAgqt_BBnqx_CCbpv,AAgqt_BBlmr_CCbmz,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,AApqr_BBfnw_CCprw
Maximum,,27.47,14.33,15.92,23.81,18.77,8.18,26.37,11.35
,  ,27.47,14.33,15.92,23.81,18.77,8.18,26.37,11.35
DDmx,,27.47,13.53,15.92,21.95,16.78,1.50,24.79,11.12
,  EEqz,25.86,12.35,11.31,20.31,16.78,1.12,18.63,10.02
,  EEbhk,27.47,13.53,15.92,21.95,5.53,1.50,24.79,11.12
,  EEmz,27.19,11.23,1.40,6.81,15.59,0.37,18.69,0.19
DDcy,,26.71,14.07,14.66,22.07,18.08,4.97,24.54,11.35
,  EEcrv,24.16,12.10,8.06,20.70,4.70,4.97,19.49,10.05
,  EEbkv,26.07,11.11,2.16,19.94,15.67,1.61,18.61,9.20
,  EEmpy,26.71,14.07,14.66,22.07,18.08,3.91,24.54,11.35
DDcjx,,5.75,14.33,14.10,23.81,18.77,8.18,26.37,11.33
,  EEdhv,5.58,0.54,14.10,21.26,0.39,2.43,20.85,10.60
,  EEmz,5.75,14.33,10.50,23.81,18.77,8.18,26.37,11.33
,  EEkqy,1.51,12.03,11.26,7.79,3.87,2.80,19.95,10.89
