DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCbpv,AApqr_BBnqx_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCprw,Maximum
DDcy,,13.77,8.09,22.82,7.04,21.63,22.82
,  EEcrv,13.77,3.91,22.82,3.59,17.80,22.82
,  EEbkv,10.43,5.75,16.16,1.67,13.02,16.16
,  EEmz,13.33,8.09,20.14,7.04,21.63,21.63
DDcjx,,17.28,27.34,23.94,7.21,6.13,27.34
,  EEdhv,14.46,27.34,23.20,5.79,6.13,27.34
,  EEbkv,17.28,11.76,23.94,7.21,3.39,23.94
,  EEkqy,11.44,21.52,20.32,2.06,3.13,21.52
DDmx,,14.90,27.15,23.88,6.12,19.85,27.15
,  EEbhk,14.90,5.35,23.88,6.12,19.85,23.88
,  EEmz,6.58,27.15,17.90,0.51,12.33,27.15
,  EEqz,12.43,24.60,15.21,3.84,16.80,24.60
