DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCprw,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv,Maximum
DDcjx,,15.75,16.91,22.85,27.51,9.44,27.83,27.83
,  EEmz,15.09,16.91,22.85,27.51,9.44,8.88,27.51
,  EEkqy,12.15,3.18,19.26,21.82,3.32,27.83,27.83
,  EEdhv,15.75,1.83,20.56,23.67,6.78,27.16,27.16
DDmx,,16.06,13.15,20.53,25.15,7.45,27.10,27.10
,  EEmz,10.36,9.66,17.57,13.43,1.38,26.18,26.18
,  EEqz,13.61,9.85,6.71,21.58,4.40,22.12,22.12
,  EEbhk,16.06,13.15,20.53,25.15,7.45,27.10,27.10
DDcy,,17.86,14.74,7.21,26.74,4.71,27.63,27.63
,  EEbkv,9.36,9.11,6.79,16.23,2.89,27.63,27.63
,  EEmpy,17.86,14.74,1.31,26.74,2.24,26.00,26.74
,  EEcrv,13.88,13.64,7.21,23.36,4.71,5.58,23.36
