DD,EE,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCbt
DDmx,EEqz,10.12,7.45,6.89,18.06,5.82,4.82
,EEmz,10.80,8.90,5.28,19.93,26.43,1.07
,EEbhk,13.41,16.91,22.96,25.03,7.91,7.58
DDcy,EEcrv,12.06,9.63,19.61,19.15,26.16,4.79
,EEmz,16.42,17.90,23.73,26.71,10.96,8.05
,EEbkv,4.60,11.59,18.59,19.41,27.54,2.65
DDcjx,EEkqy,10.64,8.98,18.08,17.86,26.11,2.42
,EEdhv,12.22,15.44,7.47,16.41,27.01,6.62
,EEbkv,17.38,18.69,23.72,26.03,10.17,9.27
Maximum,,17.38,18.69,23.73,26.71,27.54,9.27
