DD,EE,AAhpx_BBnqx_CCcqx,AAgqt_BBnqx_CCprw,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBfnw_CCbpv,Maximum
DDmx,EEbhk,15.97,16.12,12.26,4.87,6.10,16.12
,EEmz,18.35,3.86,9.53,0.72,27.58,27.58
,EEqz,20.01,12.48,9.18,3.24,27.51,27.51
DDcjx,EEdhv,20.02,1.58,14.56,3.92,0.93,20.02
,EEkqy,19.39,1.45,11.89,0.73,27.91,27.91
,EEmz,25.77,21.86,17.52,5.81,2.52,25.77
DDcy,EEmpy,25.35,16.17,9.19,4.63,8.63,25.35
,EEcrv,22.61,12.52,13.93,4.69,5.91,22.61
,EEbkv,18.93,10.78,10.42,1.10,27.50,27.50
Maximum,,25.77,21.86,17.52,5.81,27.91,27.91
